ddlat;ddlon;tax
-74.2;10.5;Acanthocoleus_aberrans_var_laevis
-74.2;10.5;Acanthocoleus_aberrans_var_laevis
-76.1;1.62;Acanthocoleus_aberrans_var_laevis
-74.47;5.92;Acanthocoleus_aberrans_var_laevis
-76.19;5.39;Acanthocoleus_aberrans_var_laevis
-75.49;4.71;Acanthocoleus_aberrans_var_laevis
-75.5;4.71;Acanthocoleus_aberrans_var_laevis
-75.23;4.43;Acanthocoleus_aberrans_var_laevis
-73.04;7.17;Acanthocoleus_aberrans_var_laevis
-73.25;5.4;Acrobolbus_cuneifolius
-75.1;6.22;Acrobolbus_laxus
-75.1;6.22;Acrobolbus_laxus
-76.28;5.03;Acrobolbus_laxus
-72.43;6.05;Acrobolbus_laxus
-73.03;5.95;Acrobolbus_laxus
-74.22;4.87;Acrobolbus_laxus
-73.75;4.52;Acrobolbus_laxus
-73.75;4.52;Acrobolbus_laxus
-73.75;4.52;Acrobolbus_laxus
-75.92;5.3;Acrobolbus_laxus
-75.32;4.67;Acrobolbus_laxus
-75.08;4.7;Acrobolbus_laxus
-75.05;4.82;Acrobolbus_laxus
-77.2;1.2;Acrobolbus_laxus
-74.42;3.75;Acrobolbus_laxus
-75.25;5.72;Acrobolbus_setaceus
-72.28;6.45;Acrobolbus_wilsonii
-77.1;7.8;Acrolejeunea_emergens
-77.1;7.8;Acrolejeunea_emergens
-73.62;4.11;Acrolejeunea_torulosa
-73.22;4.84;Acrolejeunea_torulosa
-73.27;4.86;Acrolejeunea_torulosa
-73.36;4.51;Acrolejeunea_torulosa
-75.51;4.71;Acrolejeunea_torulosa
-78.3;2.64;Acrolejeunea_torulosa
-78.3;2.64;Acrolejeunea_torulosa
-78.33;2.65;Acrolejeunea_torulosa
-73.06;7.13;Acrolejeunea_torulosa
-72.25;6.1;Acrolejeunea_torulosa
-72.63;2.57;Acrolejeunea_torulosa
-74.42;5.03;Adelanthus_aureomarginatus
-74.21;5.01;Adelanthus_aureomarginatus
-74.17;5.01;Adelanthus_aureomarginatus
-76.3;5.73;Adelanthus_carabayensis
-76.3;4.72;Adelanthus_carabayensis
-75.32;4.63;Adelanthus_carabayensis
-75.1;6.22;Adelanthus_lindenbergianus
-73.94;11.01;Adelanthus_lindenbergianus
-74.1;3.92;Adelanthus_lindenbergianus
-74.11;3.94;Adelanthus_lindenbergianus
-74.1;3.92;Adelanthus_lindenbergianus
-74.1;3.92;Adelanthus_lindenbergianus
-74.1;3.92;Adelanthus_lindenbergianus
-74.11;3.94;Adelanthus_lindenbergianus
-72.58;6;Adelanthus_lindenbergianus
-72.42;6.09;Adelanthus_lindenbergianus
-72.58;6;Adelanthus_lindenbergianus
-73.08;4.82;Adelanthus_lindenbergianus
-74.18;5.02;Adelanthus_lindenbergianus
-74.18;5.02;Adelanthus_lindenbergianus
-74;5.22;Adelanthus_lindenbergianus
-74;5.22;Adelanthus_lindenbergianus
-74.19;5.01;Adelanthus_lindenbergianus
-73.75;4.55;Adelanthus_lindenbergianus
-73.72;4.53;Adelanthus_lindenbergianus
